id,comments
1,"The screen is bright and colors are vivid, but the battery drains too quickly."
2,"Amazing camera quality! However, the phone gets hot during gaming."
3,"Great design and build quality. The price is a bit high though."
4,"Fast performance and smooth interface. Love the new features."
5,"The sound quality is terrible and the speaker is too quiet."
6,"Battery life is excellent, easily lasts two days with moderate use."
7,"Too many pre-installed apps that I cannot remove. Very annoying."
8,"The display is gorgeous and the touch response is perfect."
9,"Overpriced for what it offers. Similar phones are much cheaper."
10,"Software updates are frequent and improve the experience significantly."
11,"The camera takes stunning photos in daylight but struggles in low light conditions."
12,"Charging speed is incredibly fast, but the phone feels too heavy in hand."
13,"User interface is intuitive and easy to navigate. Storage capacity is more than enough."
14,"Poor customer service experience and the warranty terms are very limited."
15,"Excellent value for money with impressive specs, though the fingerprint sensor is slow."

